IdVenda,DataMovimentacao,NomeLocal,IdMercadoria,NomeMercadoria,Grupo,Receita,Custo,Qtde.
19111978,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 2,66","R$ 1,81",4
19112005,10/1/2024,LOJA B,1080,Produto 117,Grupo 5,"R$ 3,66","R$ 2,53",1
19112005,10/1/2024,LOJA B,1704,Produto 118,Grupo 8,"R$ 3,00","R$ 1,69",1
19112005,10/1/2024,LOJA B,1884,Produto 78,Grupo 5,"R$ 1,83","R$ 1,27",1
19112368,10/1/2024,LOJA A,2425,Produto 120,Grupo 5,"R$ 0,83","R$ 0,39",1
19112368,10/1/2024,LOJA A,4548,Produto 22,Grupo 4,"R$ 3,25","R$ 3,07",1
19112515,10/1/2024,LOJA B,1982,Produto 122,Grupo 5,"R$ 2,00","R$ 1,16",3
19112515,10/1/2024,LOJA B,3243,Produto 123,Grupo 13,"R$ 1,66","R$ 0,97",1
19112515,10/1/2024,LOJA B,9937,Produto 124,Grupo 7,"R$ 2,67","R$ 1,50",1
19112579,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 1,33","R$ 0,91",2
19112754,10/1/2024,LOJA A,8480,Produto 126,Grupo 1,"R$ 3,33","R$ 1,27",2
19112846,10/1/2024,LOJA B,3214,Produto 127,Grupo 7,"R$ 3,00","R$ 3,00",2
19112857,10/1/2024,LOJA B,3117,Produto 128,Grupo 4,"R$ 4,17","R$ 3,94",1
19112913,10/1/2024,LOJA A,10075,Produto 129,Grupo 4,"R$ 5,33","R$ 5,04",2
19113064,10/1/2024,LOJA A,6747,Produto 130,Grupo 4,"R$ 4,33","R$ 4,09",2
19113142,10/1/2024,LOJA A,6747,Produto 130,Grupo 4,"R$ 2,17","R$ 2,05",1
19113198,10/1/2024,LOJA B,1672,Produto 132,Grupo 5,"R$ 1,00","R$ 0,68",2
19113198,10/1/2024,LOJA B,8729,Produto 98,Grupo 8,"R$ 1,50","R$ 0,76",1
19113198,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 1,33","R$ 0,91",2
19113222,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 21,67","R$ 20,46",5
19113238,10/1/2024,LOJA B,137,Produto 93,Grupo 7,"R$ 5,00","R$ 2,67",2
19113282,10/1/2024,LOJA A,1970,Produto 137,Grupo 4,"R$ 4,33","R$ 4,02",1
19113326,10/1/2024,LOJA A,3213,Produto 138,Grupo 7,"R$ 2,83","R$ 1,50",1
19113338,10/1/2024,LOJA A,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19113378,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 4,33","R$ 4,09",2
19113379,10/1/2024,LOJA B,9786,Produto 141,Grupo 4,"R$ 4,33","R$ 3,94",1
19113379,10/1/2024,LOJA B,1889,Produto 142,Grupo 5,"R$ 0,83","R$ 0,38",1
19113379,10/1/2024,LOJA B,7198,Produto 143,Grupo 5,"R$ 1,00","R$ 0,64",1
19113388,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19113413,10/1/2024,LOJA B,113,Produto 27,Grupo 4,"R$ 2,67","R$ 2,52",1
19113515,10/1/2024,LOJA B,137,Produto 93,Grupo 7,"R$ 2,50","R$ 1,33",1
19113515,10/1/2024,LOJA B,1704,Produto 118,Grupo 8,"R$ 3,00","R$ 1,69",1
19113603,10/1/2024,LOJA B,5192,Produto 148,Grupo 1,"R$ 14,00","R$ 7,50",1
19113603,10/1/2024,LOJA B,5193,Produto 149,Grupo 1,"R$ 15,33","R$ 9,00",1
19113721,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 4,33","R$ 4,09",2
19113774,10/1/2024,LOJA A,3214,Produto 127,Grupo 7,"R$ 1,17","R$ 1,50",1
19113774,10/1/2024,LOJA A,7309,Produto 152,Grupo 6,"R$ 0,83","R$ 0,44",1
19113796,10/1/2024,LOJA A,3164,Produto 15,Grupo 4,"R$ 2,17","R$ 2,05",1
19113835,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 2,66","R$ 1,81",4
19114103,10/1/2024,LOJA A,3117,Produto 128,Grupo 4,"R$ 8,33","R$ 7,87",2
19114239,10/1/2024,LOJA A,1835,Produto 156,Grupo 10,"R$ 1,33","R$ 0,44",1
19114239,10/1/2024,LOJA A,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19114239,10/1/2024,LOJA A,2184,Produto 5,Grupo 4,"R$ 1,67","R$ 1,00",1
19114438,10/1/2024,LOJA A,144,Produto 159,Grupo 13,"R$ 0,00","R$ 0,22",1
19114494,10/1/2024,LOJA B,6287,Produto 160,Grupo 10,"R$ 1,50","R$ 0,73",1
19114494,10/1/2024,LOJA B,9418,Produto 113,Grupo 13,"R$ 1,50","R$ 0,45",1
19114516,10/1/2024,LOJA B,3025,Produto 162,Grupo 14,"R$ 2,33","R$ 1,27",1
19114516,10/1/2024,LOJA B,791,Produto 163,Grupo 1,"R$ 3,66","R$ 2,27",1
19114690,10/1/2024,LOJA A,184,Produto 164,Grupo 15,"R$ 2,17","R$ 1,18",1
19114690,10/1/2024,LOJA A,3237,Produto 165,Grupo 15,"R$ 1,50","R$ 0,56",1
19114690,10/1/2024,LOJA A,88,Produto 166,Grupo 6,"R$ 4,83","R$ 3,25",1
19114806,10/1/2024,LOJA A,119,Produto 92,Grupo 11,"R$ 2,00","R$ 0,83",1
19114865,10/1/2024,LOJA A,119,Produto 92,Grupo 11,"R$ 4,00","R$ 1,67",2
19115203,10/1/2024,LOJA B,3117,Produto 128,Grupo 4,"R$ 4,17","R$ 3,94",1
19115281,10/1/2024,LOJA A,115,Produto 4,Grupo 4,"R$ 11,00","R$ 10,39",3
19115355,10/1/2024,LOJA B,3213,Produto 138,Grupo 7,"R$ 2,83","R$ 1,50",1
19115403,10/1/2024,LOJA B,3214,Produto 127,Grupo 7,"R$ 1,17","R$ 1,50",1
19115403,10/1/2024,LOJA B,1637,Produto 60,Grupo 4,"R$ 2,17","R$ 1,77",1
19115403,10/1/2024,LOJA B,7309,Produto 152,Grupo 6,"R$ 0,83","R$ 0,44",1
19115430,10/1/2024,LOJA B,3216,Produto 175,Grupo 7,"R$ 2,67","R$ 1,50",1
19115613,10/1/2024,LOJA B,82,Produto 176,Grupo 5,"R$ 1,83","R$ 1,08",1
19115613,10/1/2024,LOJA B,1576,Produto 177,Grupo 6,"R$ 1,66","R$ 0,66",1
19115613,10/1/2024,LOJA B,9718,Produto 178,Grupo 10,"R$ 1,00","R$ 0,36",1
19115626,10/1/2024,LOJA A,6747,Produto 130,Grupo 4,"R$ 8,67","R$ 8,19",4
19115681,10/1/2024,LOJA B,334,Produto 108,Grupo 5,"R$ 0,83","R$ 0,39",1
19115681,10/1/2024,LOJA B,3039,Produto 26,Grupo 5,"R$ 0,83","R$ 0,38",1
19115691,10/1/2024,LOJA A,2063,Produto 182,Grupo 5,"R$ 1,17","R$ 0,56",1
19115691,10/1/2024,LOJA A,1955,Produto 183,Grupo 5,"R$ 0,83","R$ 0,39",1
19116066,10/1/2024,LOJA B,115,Produto 4,Grupo 4,"R$ 3,67","R$ 3,46",1
19116118,10/1/2024,LOJA B,1764,Produto 185,Grupo 8,"R$ 2,67","R$ 1,74",1
19116229,10/1/2024,LOJA A,107,Produto 186,Grupo 4,"R$ 3,33","R$ 3,15",1
19116236,10/1/2024,LOJA B,3348,Produto 39,Grupo 8,"R$ 1,33","R$ 0,60",1
19116236,10/1/2024,LOJA B,3421,Produto 114,Grupo 7,"R$ 1,33","R$ 0,91",2
